"text","post_text","shared_text","time","video_id","likes","comments","shares"
"Biden speaks on COVID: President Biden delivers the first prime-time address of his presidency after Congress passed his $1.9 trillion coronavirus relief plan. Watch his speech live.","Biden speaks on COVID: President Biden delivers the first prime-time address of his presidency after Congress passed his $1.9 trillion coronavirus relief plan. Watch his speech live.","","11/03/2021 20:02",8.35633e+14,4584,2562,668
"We asked people to send us their last “normal” photo of 2020 and their first pandemic photo. Thousands of you responded. From college acceptances to remote learning, planning a wedding to sharing vows over Zoom, hugging a grandparent to mourning them alone – these are some of the stories that defined our pandemic year.
#mylastnormalphoto","We asked people to send us their last “normal” photo of 2020 and their first pandemic photo. Thousands of you responded. From college acceptances to remote learning, planning a wedding to sharing vows over Zoom, hugging a grandparent to mourning them alone – these are some of the stories that defined our pandemic year.
#mylastnormalphoto","","11/03/2021 12:45",2.7077e+15,1553,109,0
"Who's your favorite player — Megan Rapinoe? Alex Morgan? Ashlyn Harris?

Guy Raz is live with the commissioner of the National Women's Soccer League!

Lisa Baird started her dream job in February 2020. ...Exactly. The NWSL was one of the first leagues to restart live matches – all without a single positive COVID test – and Lisa has big plans for 2021.

What questions should Guy ask her? Let us know in the comments!","Who's your favorite player — Megan Rapinoe? Alex Morgan? Ashlyn Harris?

Guy Raz is live with the commissioner of the National Women's Soccer League!

Lisa Baird started her dream job in February 2020. ...Exactly. The NWSL was one of the first leagues to restart live matches – all without a single positive COVID test – and Lisa has big plans for 2021.

What questions should Guy ask her? Let us know in the comments!","","11/03/2021 11:58",4.99976e+14,154,159,17
"Evacuations were ordered in Maui County, Hawaii, on Monday after flash flooding prompted concerns that a dam had been breached.

Gov. David Ige urged residents to stay out of the area downstream from the Kaupakalua Dam until the danger had passed.","Evacuations were ordered in Maui County, Hawaii, on Monday after flash flooding prompted concerns that a dam had been breached.

Gov. David Ige urged residents to stay out of the area downstream from the Kaupakalua Dam until the danger had passed.","","09/03/2021 13:50",5.1579e+15,132,138,0
"The Biden administration is taking steps to protect migratory birds by undoing a Trump-era change. The re-enforced protections come in the wake of research showing North America has lost nearly a third of its birds in the past 50 years.","The Biden administration is taking steps to protect migratory birds by undoing a Trump-era change. The re-enforced protections come in the wake of research showing North America has lost nearly a third of its birds in the past 50 years.","","09/03/2021 13:32",1.59426e+14,1101,66,0
"In a wide-ranging interview, Prince Harry and Meghan said there were ""concerns"" raised about ""how dark"" their son's skin might be before he was born. They also opened up about losing royal protection and intense pressures that led Meghan to contemplate suicide.","In a wide-ranging interview, Prince Harry and Meghan said there were ""concerns"" raised about ""how dark"" their son's skin might be before he was born. They also opened up about losing royal protection and intense pressures that led Meghan to contemplate suicide.","","08/03/2021 09:47",1.92383e+14,642,568,0
"Guy Raz is interviewing the CEO and co-founder of Zola, a wedding e-commerce platform.

The wedding industry was one of the first to feel the effects of 2020. Whether it was fully rescheduling, or finding unique ways to mark the occasion, people getting married relied heavily on platforms like Zola to help them through the process.

Guy will ask Shan-Lyn Ma what the last year has been like, how she's helping her clients adapt, and what she thinks the future holds for weddings.

Starting at 12pm ET.

What should they cover? What's on your mind? Let us know in the comments!","Guy Raz is interviewing the CEO and co-founder of Zola, a wedding e-commerce platform.

The wedding industry was one of the first to feel the effects of 2020. Whether it was fully rescheduling, or finding unique ways to mark the occasion, people getting married relied heavily on platforms like Zola to help them through the process.

Guy will ask Shan-Lyn Ma what the last year has been like, how she's helping her clients adapt, and what she thinks the future holds for weddings.

Starting at 12pm ET.

What should they cover? What's on your mind? Let us know in the comments!","","04/03/2021 11:58",1.32662e+15,203,72,62
"Thirty years ago today, Rodney King was brutally beaten by officers of the LAPD. The beating – caught on tape by a bystander – shocked much of the nation at a time when videos of police brutality were rare.

The case became a grim historical milestone and a symbol of the tortured relationship between police and Black and Brown Americans. 30 years later, that relationship remains fraught.","Thirty years ago today, Rodney King was brutally beaten by officers of the LAPD. The beating – caught on tape by a bystander – shocked much of the nation at a time when videos of police brutality were rare.

The case became a grim historical milestone and a symbol of the tortured relationship between police and Black and Brown Americans. 30 years later, that relationship remains fraught.","","03/03/2021 16:00",4.60657e+14,382,131,0
"Wray testifies: The Senate Judiciary Committee is holding a hearing on the January 6 insurrection at the U.S. Capitol. FBI Director Chirstopher Wray is testifying. Watch the hearing live.

Warning: Video shown during the hearing may contain graphic content.","Wray testifies: The Senate Judiciary Committee is holding a hearing on the January 6 insurrection at the U.S. Capitol. FBI Director Chirstopher Wray is testifying. Watch the hearing live.

Warning: Video shown during the hearing may contain graphic content.","","02/03/2021 09:54",4.55788e+14,991,2988,453
"The Hollywood Foreign Press Association handed out its Golden Globe Awards Sunday night. See who won some of the top film awards, and listen to a recap from NPR’s Pop Culture Happy Hour: https://trib.al/bD4rpsj","The Hollywood Foreign Press Association handed out its Golden Globe Awards Sunday night. See who won some of the top film awards, and listen to a recap from NPR’s Pop Culture Happy Hour: https://trib.al/bD4rpsj","","01/03/2021 14:39",4.40667e+14,212,35,0
