"text","post_text","shared_text","time","video_id","likes","comments","shares"
"On Friday, Gov. Andrew Cuomo of New York said in a teleconference that he would not resign amid sexual harassment allegations and criticism of his administration’s handling of nursing homes during the pandemic.

Read more: https://nyti.ms/2NdnhBb","On Friday, Gov. Andrew Cuomo of New York said in a teleconference that he would not resign amid sexual harassment allegations and criticism of his administration’s handling of nursing homes during the pandemic.

Read more: https://nyti.ms/2NdnhBb","","2021-03-12 21:25:00",466735387813096,144,87,0
"President Biden on Thursday called on states to make the coronavirus vaccine available to all adults by May 1 and said he was hopeful that the country could return to some form of normal life by the Fourth of July. https://nyti.ms/3l8zC6n","President Biden on Thursday called on states to make the coronavirus vaccine available to all adults by May 1 and said he was hopeful that the country could return to some form of normal life by the Fourth of July. https://nyti.ms/3l8zC6n","","2021-03-12 13:29:40",244077147190160,379,69,0
"“Finding light in the darkness is a very American thing to do,” President Biden said as he offered a hopeful path out of the pandemic and promised that all adults would be eligible for the vaccine by May 1.

Read more: https://nyti.ms/3tbCXUX","“Finding light in the darkness is a very American thing to do,” President Biden said as he offered a hopeful path out of the pandemic and promised that all adults would be eligible for the vaccine by May 1.

Read more: https://nyti.ms/3tbCXUX","","2021-03-12 08:10:54",785598742064858,2396,317,0
"“Finding light in the darkness is a very American thing to do,” President Biden said as he offered a hopeful path out of the pandemic and promised that all adults would be eligible for the vaccine by May 1.

Read more: https://nyti.ms/3bJ1YRH","“Finding light in the darkness is a very American thing to do,” President Biden said as he offered a hopeful path out of the pandemic and promised that all adults would be eligible for the vaccine by May 1.

Read more: https://nyti.ms/3bJ1YRH","","2021-03-11 23:25:01",341328430612615,868,143,0
"One of these images just sold for $69 million as an NFT, or nonfungible token. Why? Let us explain: https://nyti.ms/3tov3rB","One of these images just sold for $69 million as an NFT, or nonfungible token. Why? Let us explain: https://nyti.ms/3tov3rB","","2021-03-11 21:10:19",148755917022986,81,22,0
"This drone video, shot in a Minneapolis bowling alley to rally support for the business, has been hailed as an instant classic and caught Hollywood's eye. https://nyti.ms/3qDynx7","This drone video, shot in a Minneapolis bowling alley to rally support for the business, has been hailed as an instant classic and caught Hollywood's eye. https://nyti.ms/3qDynx7","","2021-03-11 18:06:31",183333993338166,2919,329,0
"On March 11, 2020, the World Health Organization declared the coronavirus a pandemic. These stories offer a look at one year of loss and disruption, and what comes next. https://nyti.ms/3bI1Ly9","On March 11, 2020, the World Health Organization declared the coronavirus a pandemic. These stories offer a look at one year of loss and disruption, and what comes next. https://nyti.ms/3bI1Ly9","","2021-03-11 17:35:23",1489983561393876,155,24,0
"Prince William denied Britain’s royal family was racist on Thursday, following an interview where his brother, Prince Harry, and Harry’s wife, Meghan, alleged a family member had raised concerns about their son’s skin tone. https://nyti.ms/3evCKba","Prince William denied Britain’s royal family was racist on Thursday, following an interview where his brother, Prince Harry, and Harry’s wife, Meghan, alleged a family member had raised concerns about their son’s skin tone. https://nyti.ms/3evCKba","","2021-03-11 15:47:46",264718792004859,616,306,0
"""When she passed I told her, 'I’m sorry I couldn’t be here with you. They didn’t let me be here with you. I’m sorry my daughter. I love you. And we’ll meet again.'” One in three Americans has lost a loved one to the coronavirus. We spoke to some of them. https://nyti.ms/3ryhfdn","""When she passed I told her, 'I’m sorry I couldn’t be here with you. They didn’t let me be here with you. I’m sorry my daughter. I love you. And we’ll meet again.'” One in three Americans has lost a loved one to the coronavirus. We spoke to some of them. https://nyti.ms/3ryhfdn","","2021-03-11 13:11:45",1447487245643325,860,148,0
"A drone operator shot a short video in a Minneapolis bowling alley to rally support for the business. It was viewed hundreds of thousands of times on social media and won high praise from Hollywood directors. https://nyti.ms/3qCi9nX","A drone operator shot a short video in a Minneapolis bowling alley to rally support for the business. It was viewed hundreds of thousands of times on social media and won high praise from Hollywood directors. https://nyti.ms/3qCi9nX","","2021-03-11 12:41:08",868681303974397,17255,2027,0
